date,day,number,word,result,start_word,mode
1/27/2022,Thursday,222,mount,3,,regular
1/29/2022,Saturday,224,could,5,,regular
1/30/2022,Sunday,225,wrung,5,,regular
1/31/2022,Monday,226,light,5,,regular
2/1/2022,Tuesday,227,those,3,,regular
2/2/2022,Wednesday,228,moist,3,,regular
2/3/2022,Thursday,229,shard,4,,regular
2/4/2022,Friday,230,pleat,3,,regular
2/5/2022,Saturday,231,aloft,4,weary,regular
2/6/2022,Sunday,232,skill,5,fried,regular
2/7/2022,Monday,233,elder,4,count,regular
2/8/2022,Tuesday,234,frame,2,reaps,regular
2/9/2022,Wednesday,235,humor,6,trace,regular
2/11/2022,Friday,237,ulcer,4,steam,regular
2/12/2022,Saturday,238,ultra,3,axels,regular
2/13/2022,Sunday,239,robin,3,fraud,regular
2/14/2022,Monday,240,cynic,4,space,regular
2/15/2022,Tuesday,241,aroma,3,guide,regular
2/16/2022,Wednesday,242,caulk,4,tired,regular
2/17/2022,Thursday,243,shake,0,piano,regular
2/18/2022,Friday,244,dodge,4,arise,regular
2/19/2022,Saturday,245,swill,6,arise,regular
2/20/2022,Sunday,246,tacit,4,adieu,regular
2/21/2022,Monday,247,other,4,pilot,regular
2/22/2022,Tuesday,248,thorn,4,frack,regular
2/23/2022,Wednesday,249,trove,4,arise,regular
2/24/2022,Thursday,250,bloke,5,arise,regular
2/25/2022,Friday,251,vivid,5,mount,regular
2/26/2022,Saturday,252,spill,5,arise,regular
2/27/2022,Sunday,253,chant,4,stain,regular
2/28/2022,Monday,254,choke,3,roast,regular
3/1/2022,Tuesday,255,rupee,4,shape,regular
3/2/2022,Wednesday,256,nasty,4,super,regular
3/3/2022,Thursday,257,mourn,3,cloud,regular
3/4/2022,Friday,258,ahead,5,arise,regular
3/5/2022,Saturday,259,brine,2,crime,regular
3/6/2022,Sunday,260,cloth,3,shape,regular
3/7/2022,Monday,261,hoard,3,chase,regular
3/8/2022,Tuesday,262,sweet,5,plate,regular
3/9/2022,Wednesday,263,month,4,arise,regular
3/10/2022,Thursday,264,lapse,5,edict,regular
3/11/2022,Friday,265,watch,6,smile,regular
3/12/2022,Saturday,266,today,3,thurl,regular
3/13/2022,Sunday,267,focus,4,thurl,regular
3/14/2022,Monday,268,smelt,5,thurl,regular
3/15/2022,Tuesday,269,tease,3,thurl,regular
3/16/2022,Wednesday,270,cater,5,thurl,regular
3/17/2022,Thursday,271,movie,4,thurl,regular
3/18/2022,Friday,272,saute,4,thurl,regular
3/19/2022,Saturday,273,allow,5,saute,regular
3/20/2022,Sunday,274,renew,6,thurl,regular
3/21/2022,Monday,275,their,4,sauce,regular
3/22/2022,Tuesday,276,slosh,5,adieu,regular
3/23/2022,Wednesday,277,purge,3,shape,regular
3/24/2022,Thursday,278,chest,3,shape,regular
3/25/2022,Friday,279,depot,4,chase,regular
3/26/2022,Saturday,280,epoxy,5,adobe,regular
3/27/2022,Sunday,281,nymph,4,adieu,regular
3/28/2022,Monday,282,found,6,adobe,regular
3/29/2022,Tuesday,283,shall,5,adobe,regular
3/30/2022,Wednesday,284,stove,6,adobe,regular
3/31/2022,Thursday,285,lowly,4,adobe,regular
4/1/2022,Friday,286,snout,3,shape,regular
4/2/2022,Saturday,287,trope,2,adobe,regular
4/3/2022,Sunday,288,fewer,6,shape,hard
4/4/2022,Monday,289,shawl,4,shape,hard
4/5/2022,Tuesday,290,natal,4,stare,hard
4/6/2022,Wednesday,291,comma,5,shape,hard
4/7/2022,Thursday,292,foray,5,shape,hard
4/8/2022,Friday,293,scare,4,jokes,hard
4/9/2022,Saturday,294,stair,2,stare,hard
4/10/2022,Sunday,295,black,3,claim,hard
4/11/2022,Monday,296,squad,4,stare,hard
4/12/2022,Tuesday,297,royal,4,stare,hard
4/13/2022,Wednesday,298,chunk,3,round,hard
4/14/2022,Thursday,299,mince,4,paste,hard
4/15/2022,Friday,300,shame,3,arise,hard
4/16/2022,Saturday,301,cheek,5,arise,hard
4/17/2022,Sunday,302,ample,3,arise,hard
4/18/2022,Monday,303,flair,2,arise,hard
4/19/2022,Tuesday,304,foyer,6,arise,hard
4/20/2022,Wednesday,305,cargo,4,arise,hard
4/21/2022,Thursday,306,oxide,4,arose,hard
4/22/2022,Friday,307,plant,3,arose,hard
4/23/2022,Saturday,308,olive,4,arose,hard
4/24/2022,Sunday,309,inert,4,arose,hard
4/25/2022,Monday,310,askew,4,arose,hard
4/26/2022,Tuesday,311,heist,3,arose,hard
4/27/2022,Wednesday,312,shown,4,suite,hard
4/28/2022,Thursday,313,zesty,3,suite,hard
4/29/2022,Friday,314,trash,2,suite,hard
4/30/2022,Saturday,315,larva,3,suite,hard
5/1/2022,Sunday,316,forgo,6,suite,hard
5/2/2022,Monday,317,story,4,stare,hard
5/3/2022,Tuesday,318,hairy,5,suite,hard
5/4/2022,Wednesday,319,train,3,suite,hard
5/5/2022,Thursday,320,homer,3,suite,hard
5/6/2022,Friday,321,badge,6,share,hard
5/7/2022,Saturday,322,midst,4,share,hard
5/8/2022,Sunday,323,canny,6,share,hard
5/9/2022,Monday,324,shine,2,share,hard
5/10/2022,Tuesday,325,gecko,4,share,hard
5/11/2022,Wednesday,326,farce,4,share,hard
5/12/2022,Thursday,327,slung,4,share,hard
5/13/2022,Friday,328,tipsy,3,share,hard
5/14/2022,Saturday,329,metal,4,share,hard
5/15/2022,Sunday,330,yield,4,share,hard
5/16/2022,Monday,331,delve,5,share,hard
5/17/2022,Tuesday,332,being,5,share,hard
5/18/2022,Wednesday,333,scour,3,stare,hard
5/19/2022,Thursday,334,glass,6,thurl,hard
5/20/2022,Friday,335,gamer,5,stare,hard
5/21/2022,Saturday,336,scrap,4,share,hard
5/22/2022,Sunday,337,money,3,stare,hard
5/23/2022,Monday,338,hinge,3,stare,hard
5/24/2022,Tuesday,339,album,5,stare,hard
5/25/2022,Wednesday,340,vouch,5,stare,hard
5/26/2022,Thursday,341,asset,4,stare,hard
5/27/2022,Friday,342,tiara,4,arise,hard
5/28/2022,Saturday,343,crept,3,arise,hard
5/29/2022,Sunday,344,bayou,3,stare,hard
5/30/2022,Monday,345,atoll,3,arise,hard
5/31/2022,Tuesday,346,manor,6,arise,hard
6/1/2022,Wednesday,347,creak,4,suite,hard
6/2/2022,Thursday,348,showy,4,suite,hard
6/3/2022,Friday,349,phase,3,arise,hard
6/4/2022,Saturday,350,froth,5,stare,hard
6/5/2022,Sunday,351,depth,4,arise,hard
6/6/2022,Monday,352,gloom,3,stare,hard
6/7/2022,Tuesday,353,flood,4,stare,hard
6/8/2022,Wednesday,354,trait,3,stare,hard
6/9/2022,Thursday,355,piety,5,stare,hard
6/10/2022,Friday,356,piety,5,stare,hard
6/11/2022,Saturday,357,goose,4,suite,hard
6/12/2022,Sunday,358,float,3,suite,hard
6/13/2022,Monday,359,donor,5,suite,hard
6/14/2022,Tuesday,360,atone,3,suite,hard
6/15/2022,Wednesday,361,primo,4,suite,hard
6/16/2022,Thursday,362,apron,3,suite,hard
6/17/2022,Friday,363,blown,5,solar,hard
6/18/2022,Saturday,364,cacao,5,arise,hard
6/19/2022,Sunday,365,loser,3,suite,hard
6/20/2022,Monday,366,input,3,suite,hard
6/21/2022,Tuesday,367,gloat,5,arise,hard
6/22/2022,Wednesday,368,awful,3,arise,hard
6/23/2022,Thursday,369,brink,5,stare,hard
6/24/2022,Friday,370,smite,3,suite,hard
6/25/2022,Saturday,371,beady,4,stare,hard
6/26/2022,Sunday,372,rusty,6,suite,hard